       JobID    Elapsed      NCPUS  AllocCPUS    CPUTime   TotalCPU     ReqMem   NTasks      State      User 
------------ ---------- ---------- ---------- ---------- ---------- ---------- -------- ---------- --------- 
4062_2         00:02:17          8          8   00:18:16   00:00:00       30Gn           COMPLETED student05 
4062_2.batch   00:02:17          8          8   00:18:16   00:00:00       30Gn        1  COMPLETED           
4062_3         00:03:19          8          8   00:26:32   00:00:00       30Gn           COMPLETED student05 
4062_3.batch   00:03:19          8          8   00:26:32   00:00:00       30Gn        1  COMPLETED           
4062_4         00:03:02          8          8   00:24:16   00:00:00       30Gn           COMPLETED student05 
4062_4.batch   00:03:02          8          8   00:24:16   00:00:00       30Gn        1  COMPLETED           
4062_5         00:03:26          8          8   00:27:28   00:00:00       30Gn           COMPLETED student05 
4062_5.batch   00:03:26          8          8   00:27:28   00:00:00       30Gn        1  COMPLETED           
4063_0         00:00:45          6          6   00:04:30   00:00:00       12Gn           COMPLETED student05 
4063_0.batch   00:00:45          6          6   00:04:30   00:00:00       12Gn        1  COMPLETED           
4063_1         00:00:38          6          6   00:03:48   00:00:00       12Gn           COMPLETED student05 
4063_1.batch   00:00:38          6          6   00:03:48   00:00:00       12Gn        1  COMPLETED           
4063_2         00:00:36          6          6   00:03:36   00:00:00       12Gn           COMPLETED student05 
4063_2.batch   00:00:36          6          6   00:03:36   00:00:00       12Gn        1  COMPLETED           
4063_3         00:00:38          6          6   00:03:48   00:00:00       12Gn           COMPLETED student05 
4063_3.batch   00:00:38          6          6   00:03:48   00:00:00       12Gn        1  COMPLETED           
4063_4         00:00:45          6          6   00:04:30   00:00:00       12Gn           COMPLETED student05 
4063_4.batch   00:00:45          6          6   00:04:30   00:00:00       12Gn        1  COMPLETED           
4063_5         00:00:45          6          6   00:04:30   00:00:00       12Gn           COMPLETED student05 
4063_5.batch   00:00:45          6          6   00:04:30   00:00:00       12Gn        1  COMPLETED           
4064_0         00:11:19          6          6   01:07:54   00:00:00       20Gn           COMPLETED student05 
4064_0.batch   00:11:19          6          6   01:07:54   00:00:00       20Gn        1  COMPLETED           
4064_1         00:11:19          6          6   01:07:54   00:00:00       20Gn           COMPLETED student05 
4064_1.batch   00:11:19          6          6   01:07:54   00:00:00       20Gn        1  COMPLETED           
4064_2         00:10:20          6          6   01:02:00   00:00:00       20Gn           COMPLETED student05 
4064_2.batch   00:10:20          6          6   01:02:00   00:00:00       20Gn        1  COMPLETED           
4064_3         00:10:34          6          6   01:03:24   00:00:00       20Gn           COMPLETED student05 
4064_3.batch   00:10:34          6          6   01:03:24   00:00:00       20Gn        1  COMPLETED           
4064_4         00:09:43          6          6   00:58:18   00:00:00       20Gn           COMPLETED student05 
4064_4.batch   00:09:43          6          6   00:58:18   00:00:00       20Gn        1  COMPLETED           
4064_5         00:14:46          6          6   01:28:36   00:00:00       20Gn           COMPLETED student05 
4064_5.batch   00:14:46          6          6   01:28:36   00:00:00       20Gn        1  COMPLETED           
4068_0         00:00:13          6          6   00:01:18   00:00:00       12Gn           COMPLETED student05 
4068_0.batch   00:00:13          6          6   00:01:18   00:00:00       12Gn        1  COMPLETED           
4068_1         00:00:14          6          6   00:01:24   00:00:00       12Gn           COMPLETED student05 
4068_1.batch   00:00:14          6          6   00:01:24   00:00:00       12Gn        1  COMPLETED           
4068_2         00:00:15          6          6   00:01:30   00:00:00       12Gn           COMPLETED student05 
4068_2.batch   00:00:15          6          6   00:01:30   00:00:00       12Gn        1  COMPLETED           
4068_3         00:00:11          6          6   00:01:06   00:00:00       12Gn           COMPLETED student05 
4068_3.batch   00:00:11          6          6   00:01:06   00:00:00       12Gn        1  COMPLETED           
4068_4         00:00:11          6          6   00:01:06   00:00:00       12Gn           COMPLETED student05 
4068_4.batch   00:00:11          6          6   00:01:06   00:00:00       12Gn        1  COMPLETED           
4068_5         00:00:10          6          6   00:01:00   00:00:00       12Gn           COMPLETED student05 
4068_5.batch   00:00:10          6          6   00:01:00   00:00:00       12Gn        1  COMPLETED           
4070           00:00:00          1          1   00:00:00   00:00:00        2Gn           COMPLETED student05 
4070.batch     00:00:00          1          1   00:00:00   00:00:00        2Gn        1  COMPLETED           
4069_0         00:00:01          6          6   00:00:06   00:00:00       12Gn           COMPLETED student05 
4069_0.batch   00:00:01          6          6   00:00:06   00:00:00       12Gn        1  COMPLETED           
4069_1         00:00:01          6          6   00:00:06   00:00:00       12Gn           COMPLETED student05 
4069_1.batch   00:00:01          6          6   00:00:06   00:00:00       12Gn        1  COMPLETED           
4069_2         00:00:01          6          6   00:00:06   00:00:00       12Gn           COMPLETED student05 
4069_2.batch   00:00:01          6          6   00:00:06   00:00:00       12Gn        1  COMPLETED           
4182           00:00:07          6          6   00:00:42   00:00:00       12Gn           COMPLETED student05 
4182.batch     00:00:07          6          6   00:00:42   00:00:00       12Gn        1  COMPLETED           
4202           00:00:02          1          1   00:00:02   00:00:00     3000Mc           COMPLETED student05 
4202.batch     00:00:02          1          1   00:00:02   00:00:00     3000Mc        1  COMPLETED           
4206           00:00:05          1          1   00:00:05   00:00:00        2Gn           COMPLETED student05 
4206.batch     00:00:05          1          1   00:00:05   00:00:00        2Gn        1  COMPLETED           
4210           01:01:37          6          6   06:09:42   00:00:00       12Gn           COMPLETED student05 
4210.batch     01:01:37          6          6   06:09:42   00:00:00       12Gn        1  COMPLETED           
4211           00:00:09          6          6   00:00:54   00:00:00       12Gn           COMPLETED student05 
4211.batch     00:00:09          6          6   00:00:54   00:00:00       12Gn        1  COMPLETED           
4212           02:25:34          6          6   14:33:24   00:00:00       12Gn           COMPLETED student05 
4212.batch     02:25:34          6          6   14:33:24   00:00:00       12Gn        1  COMPLETED           
4215           00:00:01          1          1   00:00:01   00:00:00        2Gn             RUNNING student05 
4215.batch     00:00:01          1          1   00:00:01   00:00:00        2Gn        1    RUNNING           
4203_0         00:01:58          8          8   00:15:44   00:00:00        2Gc           COMPLETED student05 
4203_0.batch   00:01:58          8          8   00:15:44   00:00:00        2Gc        1  COMPLETED           
4203_1         00:02:01          8          8   00:16:08   00:00:00        2Gc           COMPLETED student05 
4203_1.batch   00:02:01          8          8   00:16:08   00:00:00        2Gc        1  COMPLETED           
4203_2         00:01:54          8          8   00:15:12   00:00:00        2Gc           COMPLETED student05 
4203_2.batch   00:01:54          8          8   00:15:12   00:00:00        2Gc        1  COMPLETED           
4203_3         00:01:58          8          8   00:15:44   00:00:00        2Gc           COMPLETED student05 
4203_3.batch   00:01:58          8          8   00:15:44   00:00:00        2Gc        1  COMPLETED           
4203_4         00:01:57          8          8   00:15:36   00:00:00        2Gc           COMPLETED student05 
4203_4.batch   00:01:57          8          8   00:15:36   00:00:00        2Gc        1  COMPLETED           
4203_5         00:02:12          8          8   00:17:36   00:00:00        2Gc           COMPLETED student05 
4203_5.batch   00:02:12          8          8   00:17:36   00:00:00        2Gc        1  COMPLETED           
4203_6         00:01:30          8          8   00:12:00   00:00:00        2Gc           COMPLETED student05 
4203_6.batch   00:01:30          8          8   00:12:00   00:00:00        2Gc        1  COMPLETED           
4203_7         00:01:41          8          8   00:13:28   00:00:00        2Gc           COMPLETED student05 
4203_7.batch   00:01:41          8          8   00:13:28   00:00:00        2Gc        1  COMPLETED           
4203_8         00:01:39          8          8   00:13:12   00:00:00        2Gc           COMPLETED student05 
4203_8.batch   00:01:39          8          8   00:13:12   00:00:00        2Gc        1  COMPLETED           
4203_9         00:01:42          8          8   00:13:36   00:00:00        2Gc           COMPLETED student05 
4203_9.batch   00:01:42          8          8   00:13:36   00:00:00        2Gc        1  COMPLETED           
4203_10        00:01:31          8          8   00:12:08   00:00:00        2Gc           COMPLETED student05 
4203_10.bat+   00:01:31          8          8   00:12:08   00:00:00        2Gc        1  COMPLETED           
4203_11        00:01:25          8          8   00:11:20   00:00:00        2Gc           COMPLETED student05 
4203_11.bat+   00:01:25          8          8   00:11:20   00:00:00        2Gc        1  COMPLETED           
4204_0         00:22:12          6          6   02:13:12   00:00:00       12Gn           COMPLETED student05 
4204_0.batch   00:22:12          6          6   02:13:12   00:00:00       12Gn        1  COMPLETED           
4204_1         00:20:42          6          6   02:04:12   00:00:00       12Gn           COMPLETED student05 
4204_1.batch   00:20:42          6          6   02:04:12   00:00:00       12Gn        1  COMPLETED           
4204_2         00:21:26          6          6   02:08:36   00:00:00       12Gn           COMPLETED student05 
4204_2.batch   00:21:26          6          6   02:08:36   00:00:00       12Gn        1  COMPLETED           
4204_3         00:17:32          6          6   01:45:12   00:00:00       12Gn           COMPLETED student05 
4204_3.batch   00:17:32          6          6   01:45:12   00:00:00       12Gn        1  COMPLETED           
4204_4         00:17:52          6          6   01:47:12   00:00:00       12Gn           COMPLETED student05 
4204_4.batch   00:17:52          6          6   01:47:12   00:00:00       12Gn        1  COMPLETED           
4204_5         00:18:20          6          6   01:50:00   00:00:00       12Gn           COMPLETED student05 
4204_5.batch   00:18:20          6          6   01:50:00   00:00:00       12Gn        1  COMPLETED           
4205_0         00:01:30          8          8   00:12:00   00:00:00        2Gc           COMPLETED student05 
4205_0.batch   00:01:30          8          8   00:12:00   00:00:00        2Gc        1  COMPLETED           
4205_1         00:00:06          8          8   00:00:48   00:00:00        2Gc           COMPLETED student05 
4205_1.batch   00:00:06          8          8   00:00:48   00:00:00        2Gc        1  COMPLETED           
4205_2         00:01:32          8          8   00:12:16   00:00:00        2Gc           COMPLETED student05 
4205_2.batch   00:01:32          8          8   00:12:16   00:00:00        2Gc        1  COMPLETED           
4205_3         00:00:05          8          8   00:00:40   00:00:00        2Gc           COMPLETED student05 
4205_3.batch   00:00:05          8          8   00:00:40   00:00:00        2Gc        1  COMPLETED           
4205_4         00:01:54          8          8   00:15:12   00:00:00        2Gc           COMPLETED student05 
4205_4.batch   00:01:54          8          8   00:15:12   00:00:00        2Gc        1  COMPLETED           
4205_5         00:00:08          8          8   00:01:04   00:00:00        2Gc           COMPLETED student05 
4205_5.batch   00:00:08          8          8   00:01:04   00:00:00        2Gc        1  COMPLETED           
4205_6         00:01:51          8          8   00:14:48   00:00:00        2Gc           COMPLETED student05 
4205_6.batch   00:01:51          8          8   00:14:48   00:00:00        2Gc        1  COMPLETED           
4205_7         00:00:05          8          8   00:00:40   00:00:00        2Gc           COMPLETED student05 
4205_7.batch   00:00:05          8          8   00:00:40   00:00:00        2Gc        1  COMPLETED           
4205_8         00:01:45          8          8   00:14:00   00:00:00        2Gc           COMPLETED student05 
4205_8.batch   00:01:45          8          8   00:14:00   00:00:00        2Gc        1  COMPLETED           
4205_9         00:00:06          8          8   00:00:48   00:00:00        2Gc           COMPLETED student05 
4205_9.batch   00:00:06          8          8   00:00:48   00:00:00        2Gc        1  COMPLETED           
4205_10        00:01:51          8          8   00:14:48   00:00:00        2Gc           COMPLETED student05 
4205_10.bat+   00:01:51          8          8   00:14:48   00:00:00        2Gc        1  COMPLETED           
4205_11        00:00:04          8          8   00:00:32   00:00:00        2Gc           COMPLETED student05 
4205_11.bat+   00:00:04          8          8   00:00:32   00:00:00        2Gc        1  COMPLETED           
4205_12        00:02:00          8          8   00:16:00   00:00:00        2Gc           COMPLETED student05 
4205_12.bat+   00:02:00          8          8   00:16:00   00:00:00        2Gc        1  COMPLETED           
4205_13        00:00:07          8          8   00:00:56   00:00:00        2Gc           COMPLETED student05 
4205_13.bat+   00:00:07          8          8   00:00:56   00:00:00        2Gc        1  COMPLETED           
4205_14        00:01:59          8          8   00:15:52   00:00:00        2Gc           COMPLETED student05 
4205_14.bat+   00:01:59          8          8   00:15:52   00:00:00        2Gc        1  COMPLETED           
4205_15        00:00:04          8          8   00:00:32   00:00:00        2Gc           COMPLETED student05 
4205_15.bat+   00:00:04          8          8   00:00:32   00:00:00        2Gc        1  COMPLETED           
4205_16        00:01:31          8          8   00:12:08   00:00:00        2Gc           COMPLETED student05 
4205_16.bat+   00:01:31          8          8   00:12:08   00:00:00        2Gc        1  COMPLETED           
4205_17        00:00:06          8          8   00:00:48   00:00:00        2Gc           COMPLETED student05 
4205_17.bat+   00:00:06          8          8   00:00:48   00:00:00        2Gc        1  COMPLETED           
4205_18        00:01:35          8          8   00:12:40   00:00:00        2Gc           COMPLETED student05 
4205_18.bat+   00:01:35          8          8   00:12:40   00:00:00        2Gc        1  COMPLETED           
4205_19        00:00:05          8          8   00:00:40   00:00:00        2Gc           COMPLETED student05 
4205_19.bat+   00:00:05          8          8   00:00:40   00:00:00        2Gc        1  COMPLETED           
4205_20        00:01:30          8          8   00:12:00   00:00:00        2Gc           COMPLETED student05 
4205_20.bat+   00:01:30          8          8   00:12:00   00:00:00        2Gc        1  COMPLETED           
4205_21        00:00:06          8          8   00:00:48   00:00:00        2Gc           COMPLETED student05 
4205_21.bat+   00:00:06          8          8   00:00:48   00:00:00        2Gc        1  COMPLETED           
4205_22        00:01:42          8          8   00:13:36   00:00:00        2Gc           COMPLETED student05 
4205_22.bat+   00:01:42          8          8   00:13:36   00:00:00        2Gc        1  COMPLETED           
4205_23        00:00:04          8          8   00:00:32   00:00:00        2Gc           COMPLETED student05 
4205_23.bat+   00:00:04          8          8   00:00:32   00:00:00        2Gc        1  COMPLETED           
4207_0         00:55:43          8          8   07:25:44   00:00:00       30Gn           COMPLETED student05 
4207_0.batch   00:55:43          8          8   07:25:44   00:00:00       30Gn        1  COMPLETED           
4207_1         00:48:56          8          8   06:31:28   00:00:00       30Gn           COMPLETED student05 
4207_1.batch   00:48:56          8          8   06:31:28   00:00:00       30Gn        1  COMPLETED           
4207_2         00:52:23          8          8   06:59:04   00:00:00       30Gn           COMPLETED student05 
4207_2.batch   00:52:23          8          8   06:59:04   00:00:00       30Gn        1  COMPLETED           
4207_3         01:03:45          8          8   08:30:00   00:00:00       30Gn           COMPLETED student05 
4207_3.batch   01:03:45          8          8   08:30:00   00:00:00       30Gn        1  COMPLETED           
4207_4         01:03:59          8          8   08:31:52   00:00:00       30Gn           COMPLETED student05 
4207_4.batch   01:03:59          8          8   08:31:52   00:00:00       30Gn        1  COMPLETED           
4207_5         01:05:46          8          8   08:46:08   00:00:00       30Gn           COMPLETED student05 
4207_5.batch   01:05:46          8          8   08:46:08   00:00:00       30Gn        1  COMPLETED           
4208_0         00:11:14          6          6   01:07:24   00:00:00       12Gn           COMPLETED student05 
4208_0.batch   00:11:14          6          6   01:07:24   00:00:00       12Gn        1  COMPLETED           
